Date,Open,High,Low,Close,Volume
2021-05-28,3172.09,3198.66,3171.85,3188.73,1123524000
2021-05-31,3192.06,3203.92,3179.87,3203.92,1472570000
2021-06-01,3207.12,3233.17,3199.18,3221.87,1495671000
2021-06-02,3224.4,3241.07,3216.1,3224.23,1584799000
2021-06-03,3224.96,3258.5,3224.96,3247.43,1392319000
2021-06-04,3246.17,3246.19,3218.67,3240.08,1733348000
2021-06-07,3244.59,3264.41,3233.4,3252.12,1951319000
2021-06-08,3251.83,3264.67,3242.56,3247.83,1964923000
2021-06-09,3245.08,3245.08,3216.18,3216.18,1896766000
2021-06-10,3216.94,3235.39,3210.31,3224.64,1645508000
2021-06-11,3226.98,3251.58,3226.98,3249.32,1664527000
2021-06-14,3249.6,3254.07,3238.51,3252.13,1734497000
2021-06-15,3253.17,3262.8,3247.9,3258.63,1848671000
2021-06-16,3259.06,3281.96,3256.68,3278.68,1627658000
2021-06-17,3276.2,3276.2,3251.32,3264.96,1508634000
2021-06-18,3265.68,3275.76,3262.58,3267.93,1666696000
2021-06-21,3264.18,3264.18,3226.12,3240.79,1069174000
2021-06-22,3245.79,3267.63,3245.79,3263.88,1301271000
2021-06-23,3265.73,3281.88,3263.07,3276.19,1198187000
2021-06-24,3281.47,3292.27,3277.85,3286.1,1428764000
2021-06-25,3289.18,3316.08,3289.18,3302.84,1213046000
2021-06-28,3305.46,3311.69,3291.3,3301.89,1610375000
2021-06-29,3305.26,3305.42,3276.63,3286.68,1159231000
2021-06-30,3288.63,3305.73,3288.63,3296.68,1019998000
2021-07-01,3297.92,3300.12,3278.1,3282.06,850406000
2021-07-02,3282.81,3295.68,3278.19,3281.78,1029465000
2021-07-05,3285.29,3298.93,3285.29,3293.21,1147641000
2021-07-06,3295.44,3313.51,3295.44,3305.21,1516034000
2021-07-07,3303.59,3303.59,3277.66,3285.34,1308364000
2021-07-08,3287.68,3295.71,3252.68,3252.68,1135042000
2021-07-09,3245.52,3245.52,3188.8,3217.95,1150101000
2021-07-12,3227.51,3251.45,3227.51,3246.47,908953000
2021-07-13,3267.65,3273.9,3266.73,3271.38,1172430000
2021-07-14,3270.09,3270.09,3250.45,3264.81,1066507000
2021-07-15,3269.33,3286.22,3263.09,3286.22,1095559000
2021-07-16,3282.89,3282.89,3259.32,3276.91,979670000
2021-07-19,3258.87,3258.87,3236.39,3244.04,990326000
2021-07-20,3223.24,3234.8,3214.42,3232.7,712983000
2021-07-21,3251.13,3252.25,3215.91,3215.91,805048000
2021-07-22,3235.17,3253.75,3235.17,3250.21,826066000
2021-07-23,3253.44,3264.01,3246.09,3254.42,991938000
2021-07-26,3265.99,3265.99,3224.95,3224.95,868602000
2021-07-27,3244.43,3252.85,3230.75,3232.53,694823000
2021-07-28,3226.06,3243.21,3210.9,3236.86,687861000
2021-07-29,3248.49,3252.26,3232.5,3242.65,561003000
2021-07-30,3234.37,3234.66,3202.32,3202.32,653512000
2021-08-02,3218.42,3223.04,3194,3223.04,632241000
2021-08-03,3221.57,3237.14,3213.2,3237.14,680941000
2021-08-04,3246.65,3283.14,3237.55,3280.38,941361000
2021-08-05,3283.25,3296.17,3273.33,3276.13,707654000
2021-08-06,3277.06,3288.17,3261.93,3270.36,730349000
2021-08-09,3258.1,3275.15,3251.74,3260.42,618092000
2021-08-10,3272.44,3272.44,3232.46,3243.19,643282000
2021-08-11,3235.36,3250.21,3217.86,3220.62,696468000
2021-08-12,3213.58,3229.59,3202.11,3208.38,690842000
2021-08-13,3205.75,3209.72,3146.76,3171.29,622791000
2021-08-17,3169.74,3179.49,3134.48,3143.09,655629000
2021-08-18,3141.98,3175.88,3124.56,3158.93,672088000
2021-08-19,3140.01,3158,3097.83,3097.83,570979000
2021-08-20,3111.1,3122.09,3049.03,3060.51,586535000
2021-08-23,3086.81,3111.81,3064.65,3090.21,624688000
2021-08-24,3119.7,3142.58,3115.23,3138.3,727719000
2021-08-25,3148.13,3161,3124.25,3146.81,520668000
2021-08-26,3151.3,3159.37,3121.04,3128.53,602858000
2021-08-27,3116.29,3143.01,3106.97,3133.9,661221000
2021-08-30,3160.87,3164.87,3132.77,3144.19,746705000
2021-08-31,3144.49,3199.27,3130.3,3199.27,757859000
2021-09-01,3195.67,3215.13,3185.8,3207.02,641510000
2021-09-02,3198.03,3204.01,3171.78,3175.85,726190000
2021-09-03,3189.71,3203.08,3181.64,3201.06,760159000
2021-09-06,3196.3,3206.25,3186.79,3203.33,726190000
2021-09-07,3200.07,3201.76,3176.81,3187.42,760159000
2021-09-08,3178.74,3187.55,3157.07,3162.99,859889000
2021-09-09,3146.64,3158.6,3111.49,3114.7,927368000
2021-09-10,3120.43,3131.54,3118.81,3125.76,723085000
2021-09-13,3117.35,3139.13,3109.01,3127.86,732269000
2021-09-14,3137.32,3164.31,3137.32,3148.83,713227000
2021-09-15,3147.21,3164.01,3138.8,3153.4,616557000
2021-09-16,3165.38,3167.68,3126.65,3130.09,612873000
2021-09-17,3127.75,3142.13,3112.83,3140.51,589244000
2021-09-23,3123.64,3131.63,3107.98,3127.58,623841000
2021-09-24,3140.73,3146.86,3119.4,3125.24,753222000
2021-09-27,3121.7,3146.35,3119.26,3133.64,883229000
2021-09-28,3133.4,3134.46,3096.54,3097.92,894913000
2021-09-29,3055.5,3069.04,3030.6,3060.27,821557000
2021-09-30,3054.87,3079.43,3046.43,3068.82,840557000
2021-10-01,3056.21,3062.6,3015.01,3019.18,901721000
2021-10-05,2998.17,2998.17,2940.59,2962.17,595381000
2021-10-06,2986.06,2993.47,2908.31,2908.31,668946000
2021-10-07,2936.87,2961.53,2927.6,2959.46,660180000
2021-10-08,2977.82,2978.08,2949.01,2956.3,752132000
2021-10-12,2950.22,2950.94,2901.51,2916.38,617170000
2021-10-13,2913.34,2953.33,2909.47,2944.41,857797000
2021-10-14,2968.87,2988.64,2962.33,2988.64,926369000
2021-10-15,3012.62,3021.9,2999.33,3015.06,845703000
2021-10-18,3017.48,3021.17,2990.44,3006.68,680326000
2021-10-19,3022.23,3034.53,3014.19,3029.04,887369000
2021-10-20,3018.86,3028.26,3012.97,3013.13,695272000
2021-10-21,3012.28,3025.88,3002.74,3007.33,695272000
2021-10-22,3005.36,3018.7,2996.26,3006.16,791795000
2021-10-25,3001.1,3025.27,2983.29,3020.54,564559000
2021-10-26,3039.82,3051.65,3030.53,3049.08,607875000
2021-10-27,3045.83,3049.02,3019,3025.49,617256000
2021-10-28,3023.17,3034.42,3009.55,3009.55,545833000
2021-10-29,2990.55,2995.87,2965.4,2970.68,475382000
2021-11-01,2984.18,2991.81,2976.87,2978.94,525853000
2021-11-02,2995.58,3034.3,2995.58,3013.49,658648000
2021-11-03,3020.36,3020.87,2969.01,2975.71,772023000
2021-11-04,3000.92,3011.56,2978.07,2983.22,688027000
2021-11-05,3003.53,3003.53,2953.96,2969.27,560205000
2021-11-08,2965.36,2968.18,2930.9,2960.2,708773000
2021-11-09,2958.15,2987.28,2949.17,2962.46,570931000
2021-11-10,2947.46,2958.61,2924.36,2930.17,572859000
2021-11-11,2911.41,2925.19,2903.72,2924.92,665733000
2021-11-12,2945.95,2973.84,2938.27,2968.8,639395000
2021-11-15,2989.68,3003.71,2979.96,2999.52,579646000
2021-11-16,2995.68,3011.88,2985.34,2997.21,541489000
2021-11-17,3004.02,3004.67,2957.7,2962.42,541652000
2021-11-18,2959.26,2964.48,2937.53,2947.38,657093000
2021-11-19,2951.06,2974.64,2948.07,2971.02,530959000
2021-11-22,2983.38,3018.01,2980.73,3013.25,524233000
2021-11-23,3013.16,3016.36,2992.14,2997.33,556640000
2021-11-24,3006.34,3017.9,2981.02,2994.29,595969000
2021-11-25,2996.74,2996.74,2973.24,2980.27,595597000
2021-11-26,2973.04,2985.77,2930.31,2936.44,844400000
2021-11-29,2906.15,2930.22,2890.78,2909.32,983556000
2021-11-30,2932.71,2942.93,2822.73,2839.01,563927000
2021-12-01,2860.12,2905.74,2837.03,2899.72,534461000
2021-12-02,2874.64,2945.27,2874.64,2945.27,486749000
2021-12-03,2935.93,2975.44,2927.55,2968.33,479907000
2021-12-06,2954.82,2983.5,2932.49,2973.25,541370000
2021-12-07,2973.84,2992.31,2960.9,2991.72,488246000
2021-12-08,3017.93,3036.13,2995.34,3001.8,513445000
2021-12-09,3007,3029.57,3001.55,3029.57,451599000
2021-12-10,3011.19,3013.21,3004.49,3010.23,375828000
2021-12-13,3019.67,3043.83,3000.51,3001.66,581569000
2021-12-14,2978.9,2994.36,2976.16,2987.95,432874000
2021-12-15,2979.83,2992.3,2973,2989.39,432874000
2021-12-16,3013.26,3018.2,2989.63,3006.41,402825000
2021-12-17,3009.36,3017.73,2993.71,3017.73,451824000
2021-12-20,3001.33,3001.33,2962.07,2963,377584000
2021-12-21,2981.67,2984.56,2955.9,2975.03,410979000
2021-12-22,2993.5,3000.79,2976.65,2984.48,461755000
